samples	symbol	Mutation	CNA Status	Expression
TCGA-02-0047	ABCB1	-	-	0.132
TCGA-02-0047	ACVR1B	-	-	0.078
TCGA-02-0047	ADCY1	-	-	0.383
TCGA-02-0047	ADORA2A	-	-	-0.209
TCGA-02-0047	AHNAK2	-	-	-0.101
TCGA-02-0047	AKAP9	-	-	-0.344
TCGA-02-0047	AKD1	-	-	0.536
TCGA-02-0047	AKT1	-	-	-0.234
TCGA-02-0047	AMPH	-	-	2.813
TCGA-02-0047	APAF1	-	-	0.162
TCGA-02-0047	BCOR	-	-	-1.013
TCGA-02-0047	BRAF	1	-	-0.297
TCGA-02-0047	BRCA1	-	-	-0.199
TCGA-02-0047	BRCA2	-	-	-0.226
TCGA-02-0047	CAD	-	-	-0.555
TCGA-02-0047	CASP8	-	-	-1.116
TCGA-02-0047	CAST	-	-	-0.547
TCGA-02-0047	CBFB	-	-	-0.229
TCGA-02-0047	CCND1	-	-	-0.233
TCGA-02-0047	CDKN2A	0	-2	-0.074
TCGA-02-0047	CDKN2C	-	-	1.027
TCGA-02-0047	CEBPA	-	-	0.051
TCGA-02-0047	CENPF	-	-	-0.295
TCGA-02-0047	CFH	-	-	-0.338
TCGA-02-0047	CHD4	-	-	-0.199
TCGA-02-0047	CHD8	-	-	-0.355
TCGA-02-0047	CREM	-	-	1.239
TCGA-02-0047	CRTC3	-	-	0.544
TCGA-02-0047	CTCF	-	-	-0.236
TCGA-02-0047	CUL1	-	-	-0.68
TCGA-02-0047	DHX9	-	-	-0.493
TCGA-02-0047	DICER1	-	-	-0.018
TCGA-02-0047	DMD	-	-	2.87
TCGA-02-0047	DNMT3A	-	-	-0.113
TCGA-02-0047	EGFR	-	-	-0.004
TCGA-02-0047	EIF4A2	-	-	-0.514
TCGA-02-0047	ELF3	-	-	-0.729
TCGA-02-0047	ERCC2	-	-	0.072
TCGA-02-0047	EWSR1	-	-	-0.477
TCGA-02-0047	EZH2	-	-	-0.275
TCGA-02-0047	FANCA	-	-	-0.408
TCGA-02-0047	FBN2	-	-	0.277
TCGA-02-0047	FBXO11	-	-	0.225
TCGA-02-0047	FES	-	-	0.071
TCGA-02-0047	FGFR3	-	-	0.179
TCGA-02-0047	FLT3	-	-	-0.005
TCGA-02-0047	FOXA2	-	-	-0.008
TCGA-02-0047	FRG1B	-	-	0.316
TCGA-02-0047	GATA3	-	-	-0.014
TCGA-02-0047	GNAI1	-	-	0.278
TCGA-02-0047	GNAS	-	-	0.228
TCGA-02-0047	GOLGA5	-	-	-0.723
TCGA-02-0047	GOT2	-	-	0.151
TCGA-02-0047	GPHN	-	-	0.702
TCGA-02-0047	GPS2	-	-	-0.225
TCGA-02-0047	H3F3C	-	-	-0.293
TCGA-02-0047	HGF	-	-	0.073
TCGA-02-0047	HLA-A	-	-	-0.436
TCGA-02-0047	HMGXB4	-	-	-0.308
TCGA-02-0047	HRAS	-	-	-0.316
TCGA-02-0047	HSPA8	-	-	0.099
TCGA-02-0047	HUWE1	-	-	-0.414
